time,ultrasonic,sheepCount
1585150588.626519,148,4
1585150588.689003,148,4
1585150588.751408,148,4
1585150588.813813,148,4
1585150588.876223,148,4
1585150588.938634,148,4
1585150589.001083,148,4
1585150589.063503,148,4
1585150589.125902,148,4
1585150589.188390,148,4
1585150589.250837,148,4
1585150589.313325,148,4
1585150589.375778,148,4
1585150589.438282,148,4
1585150589.500684,148,4
1585150589.563097,148,4
1585150589.625546,148,4
1585150589.688025,148,4
1585150589.750435,148,4
1585150589.812843,148,4
1585150589.875260,148,4
1585150589.937718,148,4
1585150590.000130,148,4
1585150590.062533,148,4
1585150590.124943,148,4
1585150590.187348,148,4
1585150590.249800,148,4
1585150590.312226,148,4
1585150590.374742,148,4
1585150590.437243,148,4
1585150590.499785,148,4
